title,date,body
像抓脱贫攻坚那样抓乡村振兴,2020-12-08,"
	办好中国的事，关键在党。党的十八大以来，以习近平同志为核心的党中央团结带领全党全国各族人民，把脱贫攻坚摆在治国理政突出位置，充分发挥党的领导和我国社会主义制度的政治优势，采取了许多具有原创性、独特性的重大举措，组织实施了人类历史上规模最大、力度最强的脱贫攻坚战。经过8年持续奋斗，我们如期完成了新时代脱贫攻坚目标任务，现行标准下农村贫困人口全部脱贫，贫困县全部摘帽，消除了绝对贫困和区域性整体贫困，近1亿贫困人口实现脱贫，取得了令全世界刮目相看的重大胜利。从各负其责、各司其职的责任体系到精准识别、精准脱贫的工作体系，从上下联动、统一协调的政策体系到因地制宜、因村因户因人施策的帮扶体系……中国特色脱贫攻坚制度体系为脱贫攻坚提供了有力制度保障，充分彰显了中国共产党领导和我国社会主义制度的政治优势。
	打好脱贫攻坚战，关键在人，关键在人的观念、能力、干劲、作风。去年底，四川凉山布拖县阿布洛哈村通村硬化路主体工程完工，成为全国最后一个通公路的建制村。在施工现场，“攻坚克难”几个大字格外醒目。在大山深处，在戈壁荒漠，在林海草原，广大扶贫干部与贫困群众啃下“硬骨头”，挑战“不可能”，向一座座贫困堡垒发起总攻。在“宁愿苦战，不愿苦熬”的呐喊中书写奋斗故事，在“乡亲们没脱贫，我们就不走”的心语里留下帮扶佳话，在“逢山开路，遇水架桥”的应对中开辟致富通道……可以说，脱贫攻坚重大胜利的背后，凝聚了全党全国各族人民的智慧和心血，是广大干部群众扎扎实实干出来的。
	在脱贫攻坚实践中，党中央坚持人民至上、以人为本，把贫困群众和全国各族人民一起迈向小康社会、一起过上好日子作为脱贫攻坚的出发点和落脚点。各级党委政府以及社会协同发力、合力攻坚，东部西部守望相助、协作攻坚，广大党员、干部吃苦耐劳、不怕牺牲，充分彰显了共产党人的使命担当和牺牲奉献。尤其是今年以来，新冠肺炎疫情突发、汛情突至，脱贫攻坚工作更加艰苦卓绝，脱贫摘帽成绩更显来之不易。山高路险，尤需勇毅前行。疫情防控期间，许多驻村工作队拉起来就是防疫队、战疫队，心系人民群众生命安全和身体健康，也聚焦外出务工、复工复产等发展问题；进入防汛期，广大扶贫干部脱贫攻坚和抗洪抢险一岗双责，及时采取措施防止因灾返贫、因灾致贫。在追求美好生活的道路上，没有任何困难能够阻挡中国人民前进的脚步。
	“胜非其难也，持之者其难也。”当前，我国发展不平衡不充分的问题仍然突出，巩固拓展脱贫攻坚成果的任务依然艰巨。一方面，有关部门还要对抽查、普查和考核发现的问题进行整改，查缺补漏、动态清零。另一方面，贫困县摘帽后，要继续推动已脱贫人口的稳定脱贫，做到摘帽不摘责任、摘帽不摘政策、摘帽不摘帮扶、摘帽不摘监管。对存在返贫风险的地方，要加快建立防止返贫监测和帮扶机制，多措并举巩固脱贫攻坚成果；对已经实现稳定脱贫的地方，要推动减贫战略和工作体系平稳转型，统筹纳入乡村振兴战略，建立长短结合、标本兼治的体制机制。
	当脱贫摘帽喜报传来，一张脱贫时刻表的圆形海报在网上热传，点赞最多的留言里写道：圆规为什么能画圆，因为脚在走、心不变。让我们咬定目标、一鼓作气，向着梦想成真的时刻进发，进发！
	"
我国经济长期向好的基本面没有改变（人民观点）,2020-12-08,"
	信心和底气，源于党的坚强领导和我国社会主义制度能够集中力量办大事的制度优势
	信心和底气，还源于长期以来我国积累的雄厚物质基础、丰富人力资源、完整产业体系、强大科技实力，以及我国拥有全球最大最有潜力的市场
	前不久，国家统计局公布10月份经济运行主要数据，其中，10月餐饮收入4372亿元，同比增长0.8%，增速年内首次转正。餐饮业的不断回暖、消费市场的日益复苏，显示出中国经济的强大韧性和旺盛活力，注解着中国经济稳中向好、长期向好的基本趋势。
	“十三五”收官、“十四五”启航，我国将进入新发展阶段。在新发展阶段，我国经济长期向好的基本面没有改变，将为经济转型升级、实现高质量发展奠定坚实基础，为战胜各种风险挑战筑牢坚强堤坝，为全面建设社会主义现代化国家提供有力支撑。
	中国是个大国，大国的一大优势，就是有充足的回旋空间来抵御风险挑战。当前我国经济面临周期性因素和结构性因素叠加、短期问题和长期问题交织、外部冲击和新冠肺炎疫情冲击碰头等多重影响。越是在这个时候，越要用全面、辩证、长远的眼光看待我国发展，越要增强信心、坚定信心。习近平总书记强调：“尽管国际国内形势发生了深刻复杂变化，但我国经济稳中向好、长期向好的基本面没有变，我国经济潜力足、韧性大、活力强、回旋空间大、政策工具多的基本特点没有变，我国发展具有的多方面优势和条件没有变。”面对疫情严重冲击，我国经济经受住压力测试，成为疫情发生以来第一个恢复增长的主要经济体，在疫情防控和经济恢复上都走在世界前列，显示了中国的强大修复能力和旺盛生机活力，显示了我国经济潜力足、韧性强、回旋空间大。实践证明，我们有坚强决心、坚定意志、坚实国力应对挑战，有足够的底气、能力、智慧战胜各种风险考验。我们完全有信心、有底气保持经济社会良好发展势头。
	信心和底气，源于党的坚强领导和我国社会主义制度能够集中力量办大事的制度优势，这是实现经济行稳致远、社会安定的根本保证。新中国成立以来，我们之所以能攻克一个又一个看似不可攻克的难关，创造世所罕见的经济快速发展奇迹和社会长期稳定奇迹，究其根本，就在于我们有中国共产党的坚强领导，能充分发挥我们的制度优势。党的坚强领导，不仅能着眼于中国经济发展的长远利益和整体利益，而且能根据经济运行中的问题进行灵活、适时的逆周期调节，确保经济不出现大的颠簸。有了“主心骨”，就能把亿万人民凝聚起来，激发出万众一心、众志成城的磅礴力量，进而确保中国特色社会主义制度具有强大的政治领导力、思想引领力、群众组织力、社会号召力。这是中国经济发展奇迹的政治保障，也是中国经济抵御风险挑战、赢得长远未来的关键所在。
	信心和底气，还源于长期以来我国积累的雄厚物质基础、丰富人力资源、完整产业体系、强大科技实力，以及我国拥有全球最大最有潜力的市场，这是我们推动经济发展和抵御外部风险的根本依托。分析经济形势，既要看“点”，更要看“面”；既要看“形”，更要看“势”。从“面”而言，我国经济家底丰厚。经过70多年特别是改革开放以来的发展，中国已经成为世界第二大经济体、制造业第一大国、货物贸易第一大国、商品消费第二大国、外资流入第二大国、外汇储备第一大国。我国经济的规模性、生产制造品类的齐全性，使外生冲击难以动摇中国长期稳定发展的坚实基础。从“势”来看，我国仍处在成长上升期，发展的内生动力依然强劲。如今，我国正处在新型工业化、信息化、城镇化、农业现代化同步发展进程中，拥有14亿多人的消费市场，在满足人民日益增长的美好生活需要、解决发展不平衡不充分问题的过程中，所产生的需求将会是全面的、巨大的、持久的。如此大的消费潜力和创新创业潜能，将为经济持续增长提供强劲动力。
	我国经济长期向好的基本面，是由我国制度优势、经济基础、发展潜力等多种因素共同决定的，是长期起作用的基本格局。回顾历史，中国经济从来都是在经风历雨中发展起来、在应对挑战中成长起来的。进入新发展阶段，保持定力、坚定信心，乘势而上、开拓进取，中国经济将始终充满活力，奔涌向前。
	（本系列评论到此结束）
	"
保持“历史耐心”（人民论坛）,2020-12-08,"
	　　进一步推动京津冀协同发展有关工作，加强对黄河流域生态保护和高质量发展的领导，推动长三角一体化发展不断取得成效……“十三五”时期，以习近平同志为核心的党中央谋划部署一系列重大国家战略，不仅完善了新时代改革开放的布局、增强了高质量发展的动能，也树起了既谋划长远又干在当下的实干风范，展现出非凡的历史耐心和战略定力。
	　　党的十八大以来，习近平总书记在京津冀协同发展座谈会、扎实推进长三角一体化发展座谈会、全面推动长江经济带发展座谈会等重要场合，多次强调要保持“历史耐心”。历史耐心是一种时间观、事业观：从时间观上说，是用实功实效对历史负责，不驰于空想，不骛于虚声；从现实实践看，要笃实干事、久久为功，不急躁冒进，不急于求成。历史耐心意味着政贵有恒、不急不躁，只争朝夕地干而又不只看朝夕成败，淡定从容又持续不断地有所作为。保持历史耐心，就要鼓实劲、出实招、办实事、求实效，一张蓝图绘到底，一茬接着一茬干。
	　　我们党自成立之来，作出一个个伟大的历史性贡献，创造一笔笔丰厚的历史功绩，靠的正是历史耐心。那些具有标志性和里程碑意义的奋斗实践，从建设三峡工程、南水北调、西气东输等重大工程，到决胜全面建成小康社会、决战脱贫攻坚，都是发扬钉钉子精神、保持历史耐心持续推进的结果。正如习近平总书记强调的，“伟大梦想不是等得来、喊得来的，而是拼出来、干出来的”。今天，中国正行进在中华民族伟大复兴之路关键一程上，从全面建成小康社会到基本实现现代化，再到全面建成社会主义现代化强国，远大理想、宏伟蓝图都需要脚踏实地的改革、开放、创新来成就。
	　　保持历史耐心，并非一味等待、无所作为，而是要以负责任的态度积极作为、乘势而上。历史和现实告诉我们，缺乏历史耐心容易违背实践规律，心浮气躁、急功近利不仅难以干成事，反而会受其拖累。保持历史耐心，意味着要有不贪功好利的清醒自觉，要有锲而不舍、积小胜为大胜的意志品质。保持历史耐心得有“功成不必在我、功成必定有我”的胸襟和境界，牢固树立正确的政绩观、发展观；得有“千磨万击还坚劲，任尔东西南北风”的定力和韧劲，踩着自己既定的步伐，百折不挠去奋斗；得有“不畏浮云遮望眼”“乱云飞渡仍从容”的眼光和坚毅，善于登高望远，勇于爬坡过坎。
	　　不久前，党的十九届五中全会审议通过了《中共中央关于制定国民经济和社会发展第十四个五年规划和二��三五年远景目标的建议》，这是开启全面建设社会主义现代化国家新征程、向第二个百年奋斗目标进军的纲领性文件。开启新征程，我们保持历史耐心，用接续不断的奋斗绘就蓝图，用对子孙后代负责的态度苦干实干，就能不断朝着既定奋斗目标砥砺前进。历史潮流浩浩荡荡，那些具有历史耐心的奋斗，必将积淀成经得起历史和人民检验的千秋伟业。
	"
八项规定八周年为何上热搜,2020-12-07,"
	　　2012年12月4日，习近平总书记主持召开中央政治局会议，会议审议通过了关于改进工作作风、密切联系群众的八项规定。八项规定出台八周年之际，光明日报刊发的《锲而不舍落实中央八项规定精神》一文，登上了热搜榜。有网友说：“一路看过来，确实是改变很多，了不起！”
	　　8年，在历史长河中犹如白驹过隙，但足以重塑党风政风，足以改变社会风气。八项规定出台实施以来，公众普遍感受到党风政风明显改善，民风社风为之一新。曾有人感叹“八项规定改变中国”，这句话的确道出了世人的心声。故此，这篇评论之所以上热搜，被广大网友聚焦和热议，显然并不偶然。
	　　关注这篇评论，实则是关注八项规定，关注八项规定的成效。“八项规定”不是一个简单的政治词汇，而是一种具有力量的制度。它瞄准的是党风建设，要解决的是管党治党失之于宽、失之于松、失之于软等问题，要对作风之弊、行为之垢等来一次大排查、大检修、大扫除。回望过去8年，我们每个人也许都能看到或感受到绳弊纠顽、革故鼎新的新气象，对这种改变也都会心里有数、嘴上有话说。
	　　八项规定不是高高在上的制度设计，而是与我们每个人息息相关的制度变革。连日来，一个与八项规定有关的短视频火了，其中一个细节耐人寻味。原来，每到中秋节等佳节，一些地方都堵车，“一到过节拉的净是你们这些送礼的”，而如今再也听不到出租车司机这种抱怨了。小细节折射大改变，大改变带给民众获得感，让人由衷点赞八项规定。这种日常变化最有说服力，最触动人心，诚如短视频中所提到的，“八项规定、改变你我、行于日常、非比寻常”。
	　　《锲而不舍落实中央八项规定精神》一文上热搜，从中还能捕捉到网友的朴素愿望，即希望八项规定更有生命力、带来的改变更深入一些。犹记得八项规定刚出台时，就有人担心会不会只是一阵风。事实胜于雄辩，越来越多的人如今深切感受到，中央八项规定不是五年、十年的规定，而是长期有效的铁规矩、硬杠杠；纠治“四风”，驰而不息。
	　　就在不久前，中央纪委国家监委对6起违反中央八项规定精神典型问题进行公开曝光。其中一个案例是，2018年至2019年，甘肃省定西市水文局局长利用赴靖远县等地基层水文站检查工作时机，3次驾驶公务车辆前往会宁探亲；2019年国庆节假日期间，先后7次驾驶公务车辆办理个人事务。这位局长受到党内警告处分。在一些人看来，公车私用多大事呀，更何况都是一两年前的事了。但是，有关部门就是照查不误，这说明八项规定不是一阵风，纪检监察机关对顶风违纪问题严查快处、决不放过，不容“四风”反弹。
	　　“善除害者察其本，善理疾者绝其源。”从出台《中共中央政治局贯彻落实中央八项规定的实施细则》，到新修订的《中国共产党问责条例》将党的作风建设松懈，落实中央八项规定及实施细则精神不力，“四风”问题得不到有效整治，形式主义、官僚主义问题突出等列为问责情形，无不传递出鲜明信号，八项规定的施行步入了制度化、法治化轨道。不仅侧重于依法依规严查，还立足于找准“靶子”、查清“病灶”，还更加重视防治、抓早抓小，目的很明确，就是通过制度建设让八项规定更有威力，让全面从严治党落到实处。
	　　八项规定八周年上热搜，是一个有意思更有意义的社会话题。一定程度上说，这是党心与民心的良性互动，也是民众对善政善治的悦服。正所谓“锄一害而众苗成，刑一恶而万民悦”，当八项规定带来更大层面的深刻改变，带给民众更多元更全方位的获得感，民众就会更加强烈地激赏八项规定。同时，这也可以更好地凝心聚力，汇聚民智，为开启全面建设社会主义现代化国家新征程提供支撑。
	　　"
【“十四五”新词典】“开展绿色生活创建活动”,2020-12-07,"
	党的十九届五中全会审议通过的《中共中央关于制定国民经济和社会发展第十四个五年规划和二��三五年远景目标的建议》（以下简称《建议》）首次提出“开展绿色生活创建活动”，这是“十四五”时期促进我国经济社会发展全面绿色转型的重要举措，是坚定走生产发展、生活富裕、生态良好的文明发展道路的重要部署。在建设人与自然和谐共生的现代化新征程中，开展绿色生活创建活动，就是要让良好生态环境这一最公平的公共产品和最普惠的民生福祉成为人民更加美好生活的增长点、成为经济社会持续健康发展的支撑点。
	推动形成绿色发展方式和生活方式，是发展观的一场深刻革命。习近平总书记在党的十九大报告中强调，倡导简约适度、绿色低碳的生活方式，反对奢侈浪费和不合理消费，开展创建节约型机关、绿色家庭、绿色学校、绿色社区和绿色出行等行动。《建议》首次提出“开展绿色生活创建活动”，是贯彻落实党的十九大精神的重要举措。在此之前，多地已进行了有益探索，为绿色发展理念的落细落实赢得了广泛社会支持。
	“十三五”期间，我国经济社会发展绿色转型的成效显著。然而，面对广大人民群众对改善生态环境质量的热切期盼，生态文明建设仍存在一定短板，开展绿色生活创建活动刻不容缓。绿色生活创建活动涉及领域多、覆盖范围广，需要系统推进、广泛参与、突出重点、分类施策。
	开展绿色生活创建活动，关键要加强教育引导，提升广大青少年绿色生活创建的主动性和自觉性。“十四五”时期，要把节约资源作为从源头上保护环境的治本之策，不断强化社会成员，特别是广大青少年的节约意识，积极践行绿色低碳的消费模式和生活方式。比如，可每年举办义务植树节活动，让青少年在“爱绿植绿护绿”实践中，体会“绿化祖国，改善生态，人人有责”的内涵，体悟“十年树木，百年树人”的理念，增强他们建设美丽中国的自觉性。把生态文明理念深度融入课堂教学、主题讲座和科技创新活动，培养青少年环保意识和生态意识。此外，还应加强环境保护法、大气污染防治法、水污染防治法等相关环境保护方面法律法规的学习，培养青少年热爱自然和保护自然的法治意识。
	开展绿色生活创建活动，要以绿色家庭创建为依托，调动家庭成员绿色生活创建的积极性。面向广大城乡家庭，以“美丽中国，我是行动者”“绿色生活，最美家庭”等主题活动为依托，优先采购使用节能电器、节水器具等绿色产品，减少家庭能源资源消耗。一方面，可开展系列绿色家庭创建活动评比，达到“选树一户、引领一批、带动一片”的效果；另一方面，增加家教家风建设中绿色发展和环境保护方面的内容，引导家庭成员勤俭节约，从爱惜每一滴水、节约每一粒粮食做起，尽量采用公共交通方式出行，实行生活垃圾减量分类等。
	开展绿色生活创建，还要强化组织管理，增强社区成员绿色生活创建的规范性。社区管理部门将绿色发展理念贯穿社区设计、建设、管理和服务等活动的全过程。制定节能节水、绿化环卫、垃圾分类处置、公共设施维护的科学流程和指引。利用人工智能、大数据技术优化和规范社区车辆、噪音等的管理，监控社区资源使用情况，监测社区环境卫生，创设宜居环境，传播绿色消费、绿色出行理念，积极构建绿色社区文化。应加强社区文物古迹、历史建筑、古树名木等历史文化保护，推广使用“绿色社区标识”。更为重要的是，应把珍惜生态、保护资源和爱护环境纳入社区精神文明创建体系中，设计出具体的绿色生活评价指标体系，为社区绿色生活创建提供行动指引。
	"
把握信息革命历史机遇（人民时评）,2020-12-07,"
	当前5G与AI的不断融合，将让万物感知、万物互联、万物智能的数字社会加速到来
	在不久前召开的世界互联网大会・互联网发展论坛上，国家主席习近平向论坛致贺信强调，中国愿同世界各国一道，把握信息革命历史机遇，培育创新发展新动能，开创数字合作新局面，打造网络安全新格局，构建网络空间命运共同体，携手创造人类更加美好的未来。
	据统计，2019年中国数字经济的规模达到35.8万亿元，占GDP的比重为36.2%，总量规模和增长速度都位居世界前列。今年以来，新冠肺炎疫情在全球范围内蔓延，给各国经济社会带来巨大冲击，也愈发凸显了互联网的重要价值。从远程办公到在线教育，从健康码到电子政务，应对疫情的需要为数字技术深度应用按下“加速键”，数字经济也成为对冲疫情影响、恢复经济动能和提升治理能力的重要力量。
	把握信息革命历史机遇，需要深刻洞察新一轮科技革命和产业变革的发展趋势。大会发布的《世界互联网发展报告2020》指出，当前世界各国都在大力推进以5G、人工智能、物联网等为代表的信息基础设施建设，数字技术快速发展，带动产业深度融合。对此，论坛上不少身处前沿的科技企业和业内专家都深有同感。他们中有的关注工业互联网，认为当互联网从消费领域进入实体经济，互联网的重心将进一步往产业端下沉；有的关注人工智能，认为人工智能将作为新一轮产业变革的核心驱动力，重构生产、分配、交换、消费等经济活动各环节，催生新技术、新产品、新产业；也有的关注物联网，认为当前5G与AI的不断融合，将让万物感知、万物互联、万物智能的数字社会加速到来。
	当然，在看到发展机遇的同时，也不能忽视网络空间的隐忧。一方面，当前经济全球化遭遇逆流、一些国家保护主义和单边主义盛行，这导致了全球技术创新交流与合作、产业链与供应链受到限制与破坏，也让世界互联网未来的发展方向增加了不确定性。另一方面，网络空间存在的虚假信息、不良信息等问题也在影响着网络舆论生态，甚至社会秩序和日常生活；网络安全问题也不容忽视，不仅个人信息保护话题日益受到社会关注，而且“没有网络安全就没有国家安全”，网络空间安全也已由技术层面上升到国家安全层面。
	同舟共济，才能携手共赢。今年9月，中国发起的《全球数据安全倡议》，成为数字安全领域首个由国家发起的全球性倡议，聚焦全球数字安全治理领域核心问题，为加强全球数字安全治理、促进数字经济可持续发展提出中国方案、贡献中国智慧。前不久，世界互联网大会组委会又发布《携手构建网络空间命运共同体行动倡议》，呼吁坚持共商共建共享的全球治理观，把网络空间建设成为造福全人类的发展共同体、安全共同体、责任共同体、利益共同体。网络空间国际治理已成为全球互联网发展的迫切需求，加强网络空间国际合作、共同应对互联网风险与挑战已成为国际社会的广泛共识。
	互联网是人类共同的家园，全人类从未像今天这样在网络空间休戚与共、命运相连。在应对疫情和恢复全球经济的过程中，数字技术发挥出积极作用，更加彰显了构建网络空间命运共同体的重要性和迫切性。把握机遇，迎接挑战，需要各国进一步拓展和深化网络空间国际交流与合作，不仅繁荣数字经济、共享数字红利，更推动构建更加公正合理的全球互联网治理体系，维护一个和平、安全、开放、合作、有序的网络空间，共创人类更加美好的未来。
	"
不断满足人民群众对美好生活的需要（人民观点）,2020-12-07,"
	切实解决好人民最关心最直接最现实的利益问题，更好满足人民对美好生活的向往，才能不断提高人民群众的获得感、幸福感、安全感
	既要把人民对美好生活的向往作为奋斗目标，也要尊重人民群众首创精神，不断从人民群众中汲取智慧和力量
	入冬后天气渐冷，北方城市已经供暖，南下旅游也日益火热；“15分钟生活圈”在上海浦东不断完善，各项公共服务在步行15分钟范围内均可获得；湖北武汉启动“江豚回归江城”工作，旨在打造人与自然和谐共生的生态环境……广袤大地上，处处展现着幸福生活的画卷。
	习近平总书记强调：“为了不断满足人民群众对美好生活的需要，我们就要不断制定新的阶段性目标，一步一个脚印沿着正确的道路往前走。”“十四五”时期我国将进入新发展阶段，人民对美好生活的向往呈现多样化、多层次、多方面的特点。如何进一步提高人民收入水平？如何让老百姓在教育、医疗、养老、住房、食品药品安全等方面更满意、更顺心？如何完善社会治理体系，建设人人有责、人人尽责、人人享有的社会治理共同体？怎样打造天蓝地绿水清的人居环境？切实解决好人民最关心最直接最现实的利益问题，更好满足人民对美好生活的向往，才能推动人的全面发展、社会全面进步，不断提高人民群众的获得感、幸福感、安全感。
	让老百姓过上好日子是我们党一切工作的出发点和落脚点。未来一个时期，国内市场主导国民经济循环特征会更加明显，经济增长的内需潜力会不断释放。加快构建新发展格局，必须牢牢扭住扩大内需这个战略基点，进一步畅通国民经济循环。一方面，我国拥有14亿人口，持续优化分配结构，推动消费升级，将进一步释放国内消费对经济增长的带动作用；另一方面，我国基础设施、生态环保、新型城镇化等领域投资空间巨大，加快这些领域投资建设，不仅将显著提高人民生活品质，也将为扩内需提供强劲动力。持续深化供给侧结构性改革，在扩大内需上下更大功夫，就能在提高人民生活品质的同时，显著提升我国经济自主性和发展质量。
	美好生活，不仅意味着更高的生活品质，也意味着必须在更深层次增进民生福祉，促进全体人民共同富裕。当前，决战脱贫攻坚取得决定性成就，全面建成小康社会胜利在望。但我们也必须清醒认识到，我国发展不平衡不充分的问题仍然突出，巩固拓展脱贫攻坚成果的任务依然艰巨，城乡区域发展和收入分配差距较大，促进全体人民共同富裕是一项长期任务。为此，党的十九届五中全会将坚持以人民为中心作为“十四五”时期经济社会发展必须遵循的原则，强调坚持共同富裕方向，明确提出到2035年“全体人民共同富裕取得更为明显的实质性进展”的远景目标，提出实现巩固拓展脱贫攻坚成果同乡村振兴有效衔接、推动区域协调发展等一系列重大举措。共同富裕是社会主义的本质要求，是人民群众的共同期盼。把促进全体人民共同富裕摆在更加重要的位置，脚踏实地，久久为功，我们就一定能向着这个目标不断迈进。
	我们既要把人民对美好生活的向往作为奋斗目标，也要尊重人民群众首创精神，不断从人民群众中汲取智慧和力量。近日，全国劳动模范和先进工作者表彰大会召开，授予1689人全国劳动模范称号、804人全国先进工作者称号，他们中有夜以继日进行攻关的科研工作者，也有聚焦实业、矢志创新的企业家，有奋战在脱贫攻坚一线的驻村书记，也有穿梭于大街小巷的快递小哥。这些优秀劳动者代表，是各行各业奋斗者的缩影，是人民力量最直接的体现。奋进新时代，踏上新征程，就要不断激发全体人民积极性、主动性、创造性，充分汲取人民群众创新创造活力，为经济社会发展注入强大动能。
	民惟邦本，本固邦宁。全心全意为人民服务是我们党的根本宗旨，这一点到任何时候都不会改变。深刻认识人民对美好生活的向往，增强解决发展不平衡不充分问题的针对性，始终做到发展为了人民、发展依靠人民、发展成果由人民共享，我们就一定能在新发展阶段创造新辉煌、铸就新伟业。
	"
脱贫摘帽是新生活新奋斗的起点,2020-12-04,"
	
	12月3日，中共中央政治局常务委员会召开会议，听取脱贫攻坚总结评估汇报。习近平总书记主持会议并发表重要讲话。习近平总书记指出，经过8年持续奋斗，我们如期完成了新时代脱贫攻坚目标任务，现行标准下农村贫困人口全部脱贫，贫困县全部摘帽，消除了绝对贫困和区域性整体贫困，近1亿贫困人口实现脱贫，取得了令全世界刮目相看的重大胜利。
	在中华民族几千年的发展历程中，贫困一直存在。“民亦劳止，汔可小康。”早在2000多年前，告别贫困，过上丰衣足食、安居乐业的生活，就成为无数人心向往之的美好愿望。如今，贫困县全部脱贫摘帽，我国区域性整体贫困基本得到解决，这不仅是中华民族发展史上的重要里程碑，更为如期全面建成小康社会，开启社会主义现代化建设新征程奠定了坚实基础。
	实现贫困县全部脱贫摘帽，并不是一蹴而就的短期工作成果，而是长期接续奋斗的心血结晶。新中国成立以来，党和国家始终关注贫困问题，采取了多方面积极举措，有效推进了减贫事业的发展。党的十八大以来，以习近平同志为核心的党中央高度重视扶贫工作，坚守对人民的庄严承诺，坚持以人民为中心的发展理念，各地形成了既各司其职、各尽其责，又协调运转、协同发力的扶贫工作机制，有关部门挂牌督战、靶向发力，广大干部群众艰苦奋斗，社会各界积极支持，共同推进扶贫工作取得了实实在在的进展。特别是今年，面对新冠肺炎疫情和洪涝灾害带来的冲击，各地干部群众一手抓疫情防控和灾害防治，一手抓脱贫攻坚和经济社会发展，推动决战脱贫攻坚取得了决定性成果。
